file,title,authors,year,doi,url,final_url,relevance,status,size_bytes
2026_MartinsGomes_fluid_conductivity_contrasts_seismoelectric_signals.pdf,The effect of layer thickness and fluid conductivity contrasts on seismoelectric signals,Martins-Gomes et al.,2026,10.1093/gji/ggag065,https://academic.oup.com/gji/advance-article-pdf/doi/10.1093/gji/ggag065/66891661/ggag065.pdf,https://academic.oup.com/gji/advance-article-pdf/doi/10.1093/gji/ggag065/66891661/ggag065.pdf,direct SE interface response; fluid conductivity contrast,not_pdf:text/html; charset=UTF-8 url=https://academic.oup.com/gji/advance-article-pdf/doi/10.1093/gji/ggag065/66891661/ggag065.pdf,5888
2006_Block_Harris_conductivity_dependence_seismoelectric_wave_phenomena.pdf,Conductivity dependence of seismoelectric wave phenomena in fluid-saturated sediments,Block & Harris,2006,10.1029/2005JB003798,https://basin.earth.ncu.edu.tw/Course/SeminarII/abstract2013_1/1024_2_1.pdf,https://basin.earth.ncu.edu.tw/Course/SeminarII/abstract2013_1/1024_2_1.pdf,direct SE experiment; NaCl pore-fluid conductivity,downloaded,437953
2003_Zhu_Toksoz_effects_saturant_conductivity_seismoelectric_conversion.pdf,Effects of Saturant Conductivity on Seismoelectric Conversion,Zhu & Toksöz,2003,,https://dspace.mit.edu/server/api/core/bitstreams/77e960f6-b25f-4fa5-8b0b-9c102a3eeb02/content,https://dspace.mit.edu/server/api/core/bitstreams/77e960f6-b25f-4fa5-8b0b-9c102a3eeb02/content,direct SE lab report; saturant conductivity,downloaded,159693
2005_Chen_Mu_experimental_seismoelectric_effects_fluid_saturated_porous_media.pdf,Experimental studies of seismoelectric effects in fluid-saturated porous media,Chen & Mu,2005,10.1088/1742-2132/2/3/006,https://academic.oup.com/jge/article-pdf/2/3/222/26790341/jge5_3_006.pdf,https://academic.oup.com/jge/article-pdf/2/3/222/26790341/jge5_3_006.pdf,direct SE experiment; electrolyte concentration and amplitude,not_pdf:text/html; charset=UTF-8 url=https://academic.oup.com/jge/article-pdf/2/3/222/26790341/jge5_3_006.pdf,5804
2000_Zhu_Haartsen_Toksoz_experimental_seismoelectric_conversions_porous_media.pdf,Experimental studies of seismoelectric conversions in fluid-saturated porous media,"Zhu, Haartsen & Toksöz",2000,10.1029/2000JB900341,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2000JB900341,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2000JB900341,direct SE conversion experiment; porous media,not_pdf:text/html; charset=UTF-8 url=https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2000JB900341,5814
2015_Wang_Hu_Guan_Li_zeta_potential_surface_conductance_salinity.pdf,Electrokinetic experimental study on saturated rock samples: zeta potential and surface conductance,Wang et al.,2015,10.1093/gji/ggv013,https://academic.oup.com/gji/article-pdf/201/2/869/27641021/ggv013.pdf,https://academic.oup.com/gji/article-pdf/201/2/869/27641021/ggv013.pdf,EK parameter support; salinity controls zeta and coupling,not_pdf:text/html; charset=UTF-8 url=https://academic.oup.com/gji/article-pdf/201/2/869/27641021/ggv013.pdf,5798
2022_Thanh_Jougnot_dynamic_streaming_potential_coupling_pore_size_distributions.pdf,Dynamic streaming potential coupling coefficient in porous media with different pore size distributions,Thanh et al.,2022,10.1093/gji/ggab491,https://academic.oup.com/gji/article-pdf/229/1/720/42238343/ggab491.pdf,https://academic.oup.com/gji/article-pdf/229/1/720/42238343/ggab491.pdf,dynamic coupling coefficient model; pore fluid and microstructure,not_pdf:text/html; charset=UTF-8 url=https://academic.oup.com/gji/article-pdf/229/1/720/42238343/ggab491.pdf,5801
2020_Peng_Di_Glover_seismo_electric_conversion_shale.pdf,Seismo-electric conversion in shale: experiment and analytical modelling,Peng et al.,2020,10.1093/gji/ggaa288,https://eprints.whiterose.ac.uk/id/eprint/161778/1/GJI-19-0932.R2_AAC.pdf,https://eprints.whiterose.ac.uk/id/eprint/161778/1/GJI-19-0932.R2_AAC.pdf,direct SE conversion; zeta/porosity/tortuosity sensitivity,downloaded,2486340
2012_Glover_Walker_Ruel_Tardif_frequency_dependent_streaming_potential_part2.pdf,Frequency-Dependent Streaming Potential of Porous Media-Part 2: Experimental Measurement of Unconsolidated Materials,Glover et al.,2012,10.1155/2012/728495,https://downloads.hindawi.com/journals/ijge/2012/728495.pdf,https://downloads.hindawi.com/journals/ijge/2012/728495.pdf,frequency-dependent EK coupling experiment,not_pdf:text/html; charset=UTF-8 url=https://downloads.hindawi.com/journals/ijge/2012/728495.pdf,6032
2011_Tardif_Glover_Ruel_frequency_dependent_streaming_potential_ottawa_sand.pdf,Frequency-dependent streaming potential of Ottawa sand,Tardif et al.,2011,10.1029/2010JB008053,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2010JB008053,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2010JB008053,frequency-dependent streaming potential; sand pack,not_pdf:text/html; charset=UTF-8 url=https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2010JB008053,5814
2009_Jaafar_Vinogradov_Jackson_high_salinity_NaCl_streaming_potential.pdf,Measurement of streaming potential coupling coefficient in sandstones saturated with high salinity NaCl brine,"Jaafar, Vinogradov & Jackson",2009,10.1029/2009GL040549,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2009GL040549,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2009GL040549,high salinity effect on coupling coefficient,not_pdf:text/html; charset=UTF-8 url=https://onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2009GL040549,5814
2007_Revil_Linde_Cerepi_electrokinetic_coupling_unsaturated_porous_media.pdf,Electrokinetic coupling in unsaturated porous media,"Revil, Linde, Cerepi et al.",2007,10.1016/j.jcis.2007.03.037,https://www.osti.gov/servlets/purl/929363,https://www.osti.gov/servlets/purl/929363,excess charge / EK coupling formulation; indirect support,downloaded,816318
2016_Jouniaux_Zyserman_review_seismo_electrics_electro_seismics.pdf,"A review on electrokinetically induced seismo-electrics, electro-seismics, and seismo-magnetics",Jouniaux & Zyserman,2016,10.5194/se-7-249-2016,https://se.copernicus.org/articles/7/249/2016/se-7-249-2016.pdf,https://se.copernicus.org/articles/7/249/2016/se-7-249-2016.pdf,review; conceptual and reference map,downloaded,16406283
